title,url,description,skills,duration,platform,language,category,sub_category,skills_parsed,normalized_skills
introduction to probability and data with r,https://www.coursera.org/learn/probability-intro,"this course introduces you to sampling and exploring data, as well as basic probability theory and bayes rule. you will examine various types of sampling methods, and discuss how such methods can impact the scope of inference. a variety of exploratory data analysis techniques will be covered, including numeric summary statistics and basic data visualization. you will be guided through installing and using r and rstudio free statistical software , and will use this software for lab exercises and a final project. the concepts and techniques in this course will serve as building blocks for the inference and modeling courses in the specialization.","statistics,r programming,rstudio,exploratory data analysis,",Approx. 14 hours to complete,coursera,english,data science,data analysis,"['statistics', 'r programming', 'rstudio', 'exploratory data analysis']","['statistics', 'r']"
business model innovation,https://www.coursera.org/learn/business-model,"innovation goes beyond technology, products and processes. the new competitive landscape requires another, more holistic and strategic perspective, based on the concept of business models.","strategic management,business model,business modeling,business strategy,",Approx. 14 hours to complete,coursera,english,business,business strategy,"['strategic management', 'business model', 'business modeling', 'business strategy']",['business strategy']
data-driven decisions with power bi,https://www.coursera.org/learn/data-driven-decisions-with-power-bi,"new power bi users will begin the course by gaining a conceptual understanding of the power bi desktop application and the power bi service. learners will explore the power bi interface while learning how to manage pages and understand the basics of visualizations. learners will engage in numerous hands-on experiences to discover how to import, connect, clean, transform, and model their own data in the power bi desktop application. learners will investigate reports, learn about workspaces, and practice viewing, creating, and publishing reports to the power bi service. finally, learners will become proficient in the creation and utilization dashboards.","data modeling,data-drive decision making,group decision-making,data analysis,report building,",Approx. 14 hours to complete,coursera,english,business,business essentials,"['data modeling', 'data-drive decision making', 'group decision-making', 'data analysis', 'report building']","['data modeling', 'data-driven decision making', 'data analysis']"
getting started with git and github,https://www.coursera.org/learn/getting-started-with-git-and-github,"get started with git and github in this self-paced, introductory course you ll become familiar with collaborative version control and popular git platforms. collaboration and social coding are crucial parts of contemporary software engineering practices and the devops culture.","distributed version control drcs ,open source,version control systems,github,git software ,",Approx. 8 hours to complete,coursera,english,computer science,software development,"['distributed version control drcs', 'open source', 'version control systems', 'github', 'git software']",['github']
agile meets design thinking,https://www.coursera.org/learn/uva-darden-getting-started-agile,"despite everyone s good intentions, hard work and solid ideas, too many teams end up creating products that no one wants, no one can use, and no one buys. but it doesn t have to be this way. agile and design thinking offer a different--and effective--approach to product development, one that results in valuable solutions to meaningful problems. in this course, you ll learn how to determine what s valuable to a user early in the process--to frontload value--by focusing your team on testable narratives about the user and creating a strong shared perspective.","agile user stories,user experience design uxd ,agile software development,product management,software development,",Approx. 9 hours to complete,coursera,english,computer science,design and product,"['agile user stories', 'user experience design uxd', 'agile software development', 'product management', 'software development']","['product management', 'software developer']"
google seo fundamentals,https://www.coursera.org/learn/seo-fundamentals,"gain an understanding of search engine algorithms and how they affect organic search results and websites. building on this knowledge, you ll learn the key elements for creating an effective seo strategy, including how to select keywords and perform keyword research consumer psychology and search behavior and how to conduct on-page seo analysis to identify opportunities to improve a website s search optimization.","social media,keyword research,marketing,mathematical optimization,",Approx. 29 hours to complete,coursera,english,business,marketing,"['social media', 'keyword research', 'marketing', 'mathematical optimization']","['social media', 'keyword research']"
introduction to cyber attacks,https://www.coursera.org/learn/intro-cyber-attacks,"this course provides learners with a baseline understanding of common cyber security threats, vulnerabilities, and risks. an overview of how basic cyber attacks are constructed and applied to real systems is also included. examples include simple unix kernel hacks, internet worms, and trojan horses in software utilities. network attacks such as distributed denial of service ddos and botnet- attacks are also described and illustrated using real examples from the past couple of decades.","cybersecurity,information security infosec ,denial-of-service attack dos ,risk assessment,",Approx. 18 hours to complete,coursera,english,computer science,computer security and networks,"['cybersecurity', 'information security infosec', 'denial-of-service attack dos', 'risk assessment']","['cybersecurity', 'risk assessment']"
introduction to agile development and scrum,https://www.coursera.org/learn/agile-development-and-scrum,"after successfully completing this course, you will be able to embrace the agile concepts of adaptive planning, iterative development, and continuous improvement - resulting in early deliveries and value to customers. this course will benefit anyone who wants to get started with working the agile way. it is particularly suitable for it practitioners such as software developers, development managers, project managers, product managers, and executives.","agile software development,scrum methodology,zenhub,kanban,sprint planning,",Approx. 9 hours to complete,coursera,english,computer science,software development,"['agile software development', 'scrum methodology', 'zenhub', 'kanban', 'sprint planning']","['kanban', 'sprint planning']"
excel fundamentals for data analysis,https://www.coursera.org/learn/excel-data-analysis-fundamentals,"as data becomes the modern currency, so the ability to analyse the data quickly and accurately has become of paramount importance. excel with its extraordinarily broad range of features and capabilities is one of the most widely used programs for doing this. in the first course of our excel skills for data analysis and visualization specialization, you will learn the fundamentals of excel for data analysis. when you have completed the course, you will be able to use a range of excel tools and functions to clean and prepare data for analysis automate data analysis with the help of named ranges and tables and use logical and lookup functions to transform, link and categorise data.","data analysis,microsoft excel,data cleansing,",Approx. 15 hours to complete,coursera,english,business,business essentials,"['data analysis', 'microsoft excel', 'data cleansing']","['data analysis', 'data cleaning']"
creative thinking techniques and tools for success,https://www.coursera.org/learn/creative-thinking-techniques-and-tools-for-success,"in today s ever-growing and changing world, being able to think creatively and innovatively are essential skills. it can sometimes be challenging to step back and reflect in an environment which is fast paced or when you are required to assimilate large amounts of information. making sense of or communicating new ideas in an innovative and engaging way, approaching problems from fresh angles, and producing novel solutions are all traits which are highly sought after by employers.","creative thinking,problem solving,creativity,brainstorming,",Approx. 19 hours to complete,coursera,english,personal development,personal development,"['creative thinking', 'problem solving', 'creativity', 'brainstorming']","['problem solving', 'creativity']"
data-driven decision making,https://www.coursera.org/learn/decision-making,"welcome to data-driven decision making. in this course, you ll get an introduction to data analytics and its role in business decisions. you ll learn why data is important and how it has evolved. you ll be introduced to big data and how it is used. you ll also be introduced to a framework for conducting data analysis and what tools and techniques are commonly used. finally, you ll have a chance to put your knowledge to work in a simulated business setting.","data-informed decision-making,big data,data analysis,data visualization dataviz ,",Approx. 9 hours to complete,coursera,english,data science,data analysis,"['data-informed decision-making', 'big data', 'data analysis', 'data visualization dataviz']","['big data', 'data analysis']"
security principles,https://www.coursera.org/learn/-security-principles,"welcome to course 1 of 5 of this specialization, security principles.","risk,information assurance,security,governance,",Approx. 5 hours to complete,coursera,english,information technology,security,"['risk', 'information assurance', 'security', 'governance']",['security']
science literacy,https://www.coursera.org/learn/science-literacy,"fake news or good science in a world where we have access to unlimited information, it is hard to sift through the echo chamber of opinions fueled by emotions and personal biases, rather than scientific evidence. science literacy will teach you about the process of science, how to think critically, how to differentiate science from pseudoscience, how indigenous wisdom can inform science, how to understand and design a scientific study, and how to critically evaluate scientific communication in the media. every module will build your new skill-base with real life examples, and at the end of each module you will have to apply these skills to scientific questions, talking points and controversies in the world. warning this course requires an open mind and the ability to self-reflect.","media literacy,experimental design,communication,science literacy,science,",Approx. 22 hours to complete,coursera,english,health,basic science,"['media literacy', 'experimental design', 'communication', 'science literacy', 'science']",['communication']
design a user experience for social good prepare for jobs,https://www.coursera.org/learn/ux-design-jobs,"design a user experience for social good and prepare for jobs is the seventh and final course in a program that will equip you with the skills you need to become an entry-level ux designer. in this course, you will design a dedicated mobile app and a responsive website focused on social good. you will showcase all that you ve learned during the certificate program to complete the design process from beginning to end empathizing with users, defining their pain points, coming up with ideas for design solutions, creating wireframes and prototypes, and testing designs to get feedback. by the end of this course, you will have a new cross-platform design project to include in your professional ux portfolio.","user experience ux ,usability testing,prototype,user experience design uxd ,ux design jobs,",Approx. 62 hours to complete,coursera,english,computer science,design and product,"['user experience ux', 'usability testing', 'prototype', 'user experience design uxd', 'ux design jobs']","['user experience', 'usability testing']"
